Characteristic,Sub-characteristic,Observation mode,Values,Sub-values,Image,Variables,unit,uid,Definition from observation under binocular,Definition from observation on cross-section,Notice for modification of the current MiCorr interface,Comments,CP Binocular,CP CS,CM Binocular,CM CS,D Binocular,D CS,M Binocular,M CS,NMM Binocular,NMM CS,POM Binocular,POM CS,S Binocular,S CS,SV Binocular,SV CS
Morphology,,,,,,,,,The morphology of a stratum is the shape (geometric or not)  defined by the volume of the stratum and it general appearance.,The morphology of a stratum is the shape (geometric or not)  defined by the volume of the stratum and it general appearance.,,,x,X,x,,x,X,x,X,x,X,x,X,x,X,x,X
Morphology,Shape,Binocular,,,,,,,Geometry of the stratum in the observed area. Only the film/coating/layer options are made visible. The blank option corresponds to a stratum which shape is not known.,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Blank,,,,,,,,,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Cloud,,,,,,Continuous or very fine discontinuous outer stratum showing the underlying stratum.,,,,x,,,,x,,,,x,,,,x,,,
Morphology,,Binocular,Cluster,,,,,,"Stratum, usually thick, dispersed or isolated, of irregular massive shape.",,,,x,,,,x,,,,x,,x,,x,,,
Morphology,,Binocular,Crater,,,,,,Particular shape at the surface of a metal stratum in the form of a cavity that is wider than deep.,,,,,,x,,,,x,,,,,,,,,
Morphology,,Binocular,Curly,,,,,,,,,,x,,,,,,,,,,,,,,,
Morphology,,Binocular,Crust,,,,,,Continuous or discontinuous outer stratum of possibly irregular thickness.,,,,x,,,,x,,,,,,,,x,,,
Morphology,,Binocular,Droplet,,,,,,"Most often outer stratum dispersed or isolated, droplet-shaped stratum.",,,,x,,,,x,,,,,,,,,,,
Morphology,,Binocular,Film/coating,,,,,,Thin continuous or discontinuous stratum of regular thickness (on the scale of the observation) and whose faces appear parallel.,,"""Layer"" taken out of LayerFilm/coating",,x,,,,x,,x,,x,,,,x,,,
Morphology,,Binocular,Layer,,,,,,Thin continuous or discontinuous stratum of regular thickness (on the scale of the observation) and whose faces appear parallel.,,Added,,x,,x,,x,,x,,x,,x,,x,,x,
Morphology,,Binocular,Nodule,,,,,,"Generally thick, dispersed or isolated stratum of massive pseudo-geometric shape.",,,,x,,x,,x,,x,,,,,,x,,,
Morphology,,Binocular,Pit,,,,,,Particular shape on the surface of a metal stratum in the form of a cavity deeper than wide.,,,,,,x,,,,x,,,,,,,,,
Morphology,,Binocular,Pustule,,,,,,Dispersed or isolated stratum of conical or hemispherical shape.,,,,x,,,,,,,,,,,,,,,
Morphology,,Binocular,Veins or seams,,,,,,Continuous or discontinuous stratum.,,,,x,,,,x,,x,,,,,,,,x,
Morphology,,Binocular,Whiskers,,,,,,Stratum in the form of a filament or hair extending over the surface. ,,Added,,x,,,,x,,,,,,,,,,,
Morphology,,Binocular,Geometrical shape,,,,,,Stratum with a specific geometrical shape,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Circular,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Conical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Cubic,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Cylindrical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Hemispherical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Lens-shaped,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Ovoid,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Parallelepipedal,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Prismatic,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Pyramidal,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Ring-shaped,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Sector of a sphere,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Spherical cap,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Spherical,,,,,,,modified from values to sub-values,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Trapezoïdal,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,,Binocular,,Curve-shaped,,,,,,,Added,,x,,,,,,x,,,,,,,,,
Morphology,Width,Cross-section,,,,,,,The width should be deduced in relation to the other strata of the corrosion structure. The blank option corresponds to a stratum which width is not known.,Determined on the observed area. It is expressed in µm and %. ,Field taken out under binocular observation.,,,X,,X,,X,,X,,X,,X,,X,,X
Morphology,,,Blank,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
Morphology,,,Large,,,,,,,,Field taken out under binocular observation.,,,,,,,,,,,,,,,,,
