f.uid,f.name,c.uid,c.name,c.order
interfaceProfileFamily,Profile,straightCharacteristic,straight,1
interfaceAdherenceFamily,Adherence,inseparableCharacteristic,inseparable,1
interfaceRoughnessFamily,Roughness,smoothCharacteristic,smooth,1
interfaceTransitionFamily,Transition,sharpCharacteristic,sharp,1
interfaceProfileCSFamily,Profile,interfaceStraightCSCharacteristic,Straight,2
interfaceProfileFamily,Profile,wavyCharacteristic,wavy,2
interfaceAdherenceFamily,Adherence,adherentCharacteristic,adherent,2
interfaceRoughnessFamily,Roughness,slightlyRoughCharacteristic,slightly rough,2
interfaceTransitionFamily,Transition,diffuseCharacteristic,diffuse,2
interfaceProfileCSFamily,Profile,interfaceWavyCSCharacteristic,Wavy,3
interfaceProfileFamily,Profile,bumpyCharacteristic,bumpy,3
interfaceAdherenceFamily,Adherence,looselyCharacteristic,loosely,3
interfaceRoughnessFamily,Roughness,roughCharacteristic,rough,3
interfaceTransitionFamily,Transition,semiGradualSuperiorCharacteristic,semi gradual superior,3
interfaceProfileCSFamily,Profile,interfaceBumpyCSCharacteristic,Bumpy,4
interfaceProfileFamily,Profile,irregularCharacteristic,irregular,4
interfaceAdherenceFamily,Adherence,nonAdherentCharacteristic,non adherent,4
interfaceRoughnessFamily,Roughness,unevenCharacteristic,uneven,4
interfaceTransitionFamily,Transition,semiGradualInferiorCharacteristic,semi gradual inferior,4
interfaceProfileCSFamily,Profile,interfaceIrregularCSCharacteristic,Irregular,5
interfaceTransitionFamily,Transition,gradualCharacteristic,gradual,5
interfaceTransitionCSFamily,Transition,interfaceSharpCSCharacteristic,Sharp,6
interfaceTransitionCSFamily,Transition,interfaceDiffuseCSCharacteristic,Diffuse,7
interfaceTransitionCSFamily,Transition,interfaceSemi-GradualSuperiorCSCharacteristic,semi-gradual superior,8
interfaceTransitionCSFamily,Transition,interfaceSemi-GradualInferiorCSCharacteristic,semi-gradual inferior,9
interfaceTransitionCSFamily,Transition,interfaceGradualCSCharacteristic,Gradual,10
interfaceAdherenceCSFamily,Adherence,interfaceAdherentCSCharacteristic,Adherent,12
interfaceAdherenceCSFamily,Adherence,interfaceNonAdherentCSCharacteristic,Non adherent,13
interfaceRcCSVarFamily,Rc,null,null,null
interfaceRpCSVarFamily,Rp,null,null,null
interfaceRaCSVarFamily,Ra,null,null,null
interfaceRtCSVarFamily,Rt,null,null,null
